country_txt,region_txt,provstate,city,latitude,longitude,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
Australia,Australasia & Oceania,New South Wales,Coffs Harbour,-30.296312,153.115672,Bombing/Explosion,Government (General),Unknown,Explosives
Australia,Australasia & Oceania,South Australia,Adelaide,-34.928726,138.599945,Armed Assault,Business,Unknown,Firearms
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Transportation,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Transportation,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Transportation,Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Unarmed Assault,Private Citizens & Property,Unknown,Chemical
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Unarmed Assault,Business,Unknown,Chemical
Australia,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,Bombing/Explosion,Government (General),Unknown,Explosives
Australia,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,Bombing/Explosion,Maritime,Unknown,Explosives
Australia,Australasia & Oceania,Northern Territory,Kakudu National Park,-12.673648,132.81754,Facility/Infrastructure Attack,Business,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales (State),Lakemba,-33.919568,151.07683,Armed Assault,Police,Unknown,Firearms
Australia,Australasia & Oceania,New South Wales (State),Sydney,-33.873651,151.20689,Bombing/Explosion,Government (General),Unknown,Explosives
Australia,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,Bombing/Explosion,Government (General),Unknown,Explosives
Australia,Australasia & Oceania,Victoria,Melbourne,-37.813187,144.96298,Bombing/Explosion,Government (General),Unknown,Explosives
Australia,Australasia & Oceania,Australian Capital Territory,Waitara,-33.711025,151.104299,Bombing/Explosion,Government (General),Unknown,Explosives
Australia,Australasia & Oceania,New South Wales (State),Normahurst,-33.724162,151.085374,Armed Assault,Transportation,Unknown,Firearms
Australia,Australasia & Oceania,Queensland (State),Brisbane,-27.470933,153.023502,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria (State),Melbourne,-37.813187,144.96298,Unarmed Assault,Government (Diplomatic),Unknown,Chemical
